Reported_Epoch,Loss_DV,Loss_DS,Loss_adv_vocal,Loss_adv_speech,Loss_Cycle_Vocal,Loss_Cycle_Speech,Loss_Identity_Vocal,Loss_Identity_Speech,Grad_Norm_DV,Grad_Norm_DS,Grad_Norm_GV,Grad_Norm_GS,num_DV_updates,num_DS_updates,Global_Epoch
1,0.7512,0.7336,0.1735,0.1649,23.5501,26.3075,30.0653,29.2166,0.7523,0.9174,0.0065,0.0046,15.0,14.0,1
2,0.7515,0.5876,0.1154,0.1992,9.1575,10.5017,15.4101,14.6025,0.3659,0.0,0.006,0.0075,15.0,0.0,2
3,0.7417,0.6545,0.1087,0.1538,7.3917,8.8523,10.13,11.9215,0.1464,1.3821,0.0035,0.0041,16.0,7.0,3
4,0.7379,0.7572,0.1093,0.0862,6.5361,8.5947,7.6687,10.6504,0.1896,0.2796,0.0022,0.0019,16.0,18.0,4
5,0.7327,0.6357,0.1095,0.1449,6.0047,8.3001,7.1417,9.9419,0.1899,0.3473,0.0032,0.0041,16.0,11.0,5
6,0.7217,0.6723,0.1125,0.1073,5.7884,7.5534,7.2712,9.2429,0.2038,0.2866,0.0052,0.0067,16.0,14.0,6
7,0.7063,0.6351,0.1167,0.1257,5.7994,6.8482,6.9715,8.8479,0.2694,0.2836,0.007,0.0087,15.0,12.0,7
8,0.6947,0.6407,0.1191,0.121,5.5142,6.2866,6.6864,8.7532,0.3108,0.364,0.0065,0.0081,14.0,11.0,8
9,0.6808,0.641,0.1192,0.1177,5.2513,5.9302,6.3784,8.4457,0.2678,0.3024,0.0055,0.0058,14.0,12.0,9
10,0.6723,0.628,0.1192,0.1238,5.1791,5.8616,6.0588,8.1331,0.3421,0.3845,0.0069,0.0076,13.0,10.0,10
11,0.6641,0.6426,0.1203,0.1145,5.0166,5.7453,5.8718,7.912,0.4034,0.2859,0.0061,0.0065,12.0,13.0,11
12,0.6534,0.6006,0.1162,0.1385,5.0436,5.7548,5.8405,7.7479,0.3104,4.1593,0.007,0.0075,13.0,1.0,12
13,0.6482,0.7093,0.1245,0.0902,5.4164,6.057,6.0879,7.8785,0.9646,0.5202,0.0093,0.0108,6.0,12.0,13
14,0.6967,0.6683,0.1083,0.1064,5.4836,6.1153,6.0658,7.9725,0.1818,0.1633,0.0093,0.0109,17.0,16.0,14
15,0.5931,0.5895,0.1634,0.1498,5.1077,5.7809,6.009,7.9552,0.0,0.0,0.0078,0.0088,0.0,0.0,15
16,0.5948,0.5907,0.1631,0.1494,4.9106,5.5884,5.839,7.7701,0.0,0.0,0.0064,0.0068,0.0,0.0,16
17,0.5954,0.5932,0.1625,0.1483,4.7238,5.3706,5.6878,7.5154,0.0,0.0,0.0053,0.0052,0.0,0.0,17
18,0.5979,0.5947,0.161,0.1473,4.6655,5.1656,5.684,7.3027,0.0,0.0,0.0055,0.0055,0.0,0.0,18
19,0.6431,0.595,0.1371,0.1471,4.6381,4.9369,5.7372,7.1645,0.9341,0.0,0.0062,0.0065,6.0,0.0,19
20,0.7274,0.5972,0.1013,0.1468,4.5904,4.7888,5.7234,7.1214,0.2194,0.0,0.0062,0.0061,18.0,0.0,20
21,0.6,0.596,0.1728,0.1467,4.5439,4.7195,5.668,7.069,0.0,0.0,0.0062,0.0065,0.0,0.0,21
22,0.6011,0.5965,0.1726,0.1464,4.5615,4.6963,5.65,7.008,4.2103,0.0,0.0065,0.0068,1.0,0.0,22
23,0.7763,0.597,0.0856,0.1464,4.5463,4.6714,5.6196,6.983,0.6798,0.0,0.0064,0.0062,12.0,0.0,23
24,0.7133,0.5974,0.1083,0.1465,4.4959,4.6228,5.6075,6.9712,0.1281,0.0,0.0061,0.006,17.0,0.0,24
25,0.6585,0.5965,0.1366,0.1467,4.4279,4.5746,5.6037,6.9311,0.2513,0.0,0.0055,0.0053,12.0,0.0,25
26,0.6901,0.5969,0.0974,0.1463,4.3648,4.5436,5.5013,6.8768,0.1887,0.0,0.0062,0.0062,15.0,0.0,26
27,0.6477,0.5973,0.1176,0.1463,4.3664,4.532,5.5292,6.8378,0.2356,0.0,0.0064,0.0063,12.0,0.0,27
28,0.6527,0.5966,0.1074,0.1466,4.3524,4.4896,5.4963,6.7906,0.2514,0.0,0.0065,0.0066,13.0,0.0,28
29,0.6309,0.5967,0.1206,0.1463,4.3084,4.4245,5.4988,6.7346,0.4785,0.0,0.0057,0.0056,8.0,0.0,29
30,0.6606,0.5977,0.1009,0.1462,4.3064,4.4053,5.4783,6.6794,0.2039,0.0,0.0062,0.0059,15.0,0.0,30
31,0.5787,0.597,0.1537,0.1466,4.3526,4.4033,5.5312,6.662,0.0,0.0,0.0069,0.0073,0.0,0.0,31
32,0.5798,0.5976,0.1536,0.1461,4.2948,4.3369,5.5393,6.6376,0.0,0.0,0.0064,0.0064,0.0,0.0,32
33,0.5804,0.5982,0.153,0.146,4.2933,4.3182,5.5154,6.6212,0.0,0.0,0.0062,0.0062,0.0,0.0,33
34,0.5815,0.5975,0.1527,0.1461,4.2259,4.2646,5.5319,6.5849,0.0,0.0,0.0059,0.0055,0.0,0.0,34
35,0.5822,0.5986,0.1522,0.1458,4.2457,4.236,5.5584,6.5621,0.0,0.0,0.0068,0.007,0.0,0.0,35
36,0.583,0.5982,0.1517,0.1459,4.1779,4.1517,5.5494,6.5496,0.0,0.0,0.0058,0.0053,0.0,0.0,36
37,0.5841,0.6086,0.1508,0.1387,4.0994,4.0954,5.5157,6.5535,0.0,0.5715,0.0069,0.0068,0.0,6.0,37
38,0.5855,0.677,0.15,0.0991,4.1145,4.0593,5.5714,6.5959,0.0,0.2514,0.0069,0.0067,0.0,15.0,38
39,0.5852,0.6122,0.1498,0.1327,4.1224,4.0133,5.5748,6.6267,0.0,0.4417,0.0068,0.0068,0.0,7.0,39
40,0.5872,0.6562,0.1497,0.1034,4.095,3.9592,5.5871,6.6516,0.0,0.2728,0.0066,0.0065,0.0,13.0,40
41,0.5868,0.6291,0.1491,0.1142,4.0596,3.9069,5.6132,6.6678,0.0,0.2399,0.0064,0.0061,0.0,12.0,41
42,0.588,0.6161,0.1488,0.121,3.981,3.8459,5.5635,6.6515,0.0,0.4615,0.0064,0.0061,0.0,7.0,42
43,0.5888,0.6453,0.149,0.1044,3.9422,3.8205,5.5506,6.6554,0.0,0.2405,0.0064,0.0059,0.0,14.0,43
44,0.5874,0.5917,0.1483,0.1346,3.9595,3.799,5.5482,6.6546,0.0,0.0,0.0067,0.0065,0.0,0.0,44
45,0.588,0.5911,0.1483,0.1347,3.9736,3.7914,5.5688,6.6484,0.0,0.0,0.0071,0.0073,0.0,0.0,45
46,0.5891,0.5918,0.1476,0.1345,4.0198,3.8394,5.5531,6.6423,0.0,0.0,0.0076,0.0077,0.0,0.0,46
47,0.589,0.5915,0.148,0.1343,3.885,3.7521,5.465,6.6056,0.0,0.0,0.0065,0.006,0.0,0.0,47
